전자정보통신 약어정리

 	(‘*’표는 통신에 주로 사용되는 약어임)
ACSS 	Analog Computer Subsystem, 아날로그 컴퓨터 서브시스템
ACSSB 	Amplitude Companded Single Side Band
ACSSB 	Amplitude Companded SSB
ACSU 	ACS Unit
ACSU 	Add-Compare-Select Unit
ACSW 	Access Channel Software (IMT-2000)
ACT 	Actual
ACT 	Algebraic Complier and Translator
ACT 	Automatic Code Translation, 자동 코드 변환
ACTRAN 	Autocoder-to-COBOL Translating Service
ACTS 	Automatic Coin Toll System, 자동 동전 요금 시스템
ACTS 	Automatic Computer Telex Services
ACTVS 	Advanced Compatible Television System, 고화질 호환성 텔레비전 방식
ACU 	Alarm and Control Unit, 경보 및 제어기
ACU 	Arithmetic and Control Unit
ACU 	Automatic Calling Unit, 자동 호출 장치
ACUTE 	Accountants Computer Users Technical Exchange
ACW 	Access Control Word, 액세스 제어 워드
AD 	Activity Discard
AD 	Adjunct
AD 	Amplitude Distortion, 진폭 왜곡
AD 	Analog-to-Digital, 아날로그-디지털
AD 	Ancillary Data, 외부 데이터 (MPEG 오디오)
ADA 	Activity Discard ACK
ADA 	Audio Distribution Amplifier, 음성 분배 증폭기
ADA 	Automatic Data Acquisition, 자동 데이터 획득
ADAC 	Automatic Direct Analog Computer
ADALINE 	ADAptive LINear Element
ADAM 	A Data Management System, 데이터 관리 시스템
ADAM 	Absolutely Divine Automatic Machine (NBS)
ADAM 	Advanced Data Management System
ADAM 	Associometrics Data Management
ADAPS 	Automatic Display and Plotting System
ADAPSO 	Association of Data Procession Service Organization, 어댑소, 데이터 처리 서비스업 협회
ADAPT 	Adaptation of APT
ADAPT 	Air Material Command Developed APT
ADAPT 	Data Processing Complier, 데이터 처리 컴파일러
ADAS 	Automatic Data Acquisition System, 자동 데이터 획득 시스템
ADAT 	Automatic Data Accumulator and Transfer
ADATA 	Audio Data Serial Input
ADB 	Apple Desktop Bus
ADC 	Air Data Computer
ADC 	Airborne Digital Computer, 공중수송 디지털 컴퓨터
ADC 	Analog-to-Digital Conversion, 아날로그-디지털 변환
ADC 	Analog-to-Digital Converter, 아날로그-디지털 변환기
ADC 	Automatic Data Collection, 자동 데이터 수집
ADCCP 	Advanced Data Communication Control Procedure, 고급 데이터 통신 제어 절차(ANSI, 1974)
ADCCP 	Advanced Data-Communications Control Procedure, 고급데이터통신제어절차
ADDAR 	Automatic Digital Data Acquisition and Recording
ADDAS 	Automatic Digital Data Assembly System, 자동 디지털 데이터 어셈블리 시스템
ADDR 	Address bus signal
ADE 	Automated Design Engineering
ADEC 	Aiken Dahlgren Electronic Calculator
ADEN 	Audio Data Enable
ADEPO 	Automatic Dynamic Evaluation by Programmed Organizations
ADES 	Automatic Digital Encoding System, 자동 디지털 부호화 시스템
ADF 	Adaptive Digital Filter
ADF 	Authentication Data Function (IMT-2000)
ADF 	Automatic Direction Finder
ADH 	Asynchronous Digital Hierarchy, 비동기식 디지털 계위
ADI 	American Documentation Institute
ADIOS 	Automatic Digital Input-Output System, 자동 디지털 입-출력 시스템
ADIS 	Advanced Driver Information System
ADIT 	Analog-Digital Integration Translator
ADL 	Automatic Data Link, 자동 데이터 링크
ADM 	Adaptive Delta Modulation, 적응 델타 변조
ADM 	Add-Drop Multiplexer, 분기 결합 다중화기
ADMA 	Amplitude Domain(or Division) Multiple Access
ADMA 	Automatic Drafting Machine
ADMD 	Administration Management Domain, 주무 관청 관리 영역
ADMIRAL 	Automatic and Dynamic Monitor with Immediate Relocation, Allocation and Loading
ADMIRE 	Automated Diagnostic Maintenance Information Retrieval System
ADONIS 	Automatic Digital On-line Instrumentation System
ADP 	Automatic Data Processing, 자동 데이터 처리
ADPC 	Automatic Data Processing Center, 자동 데이터 처리 센터
ADPCM 	Adaptive Differential Pulse Code Modulation, 적응 예측 부호화, 적응 차분 펄스 부호 변조
ADPCM 	Advanced Differential Pulse Code Modulation*
ADPCM 	Association for Data Processing and Computer Management
ADPCM-MQ 	ADPCM-Multi Quantizer
ADPE 	Automatic Data Processing Equipment, 자동 데이터 처리 장비
ADPE 	Auxiliary Data Processing Equipment, 보조 데이터 처리 장비
ADPP 	Automatic Data Processing Program, 자동 데이터 처리 프로그램
ADPS 	Automatic Data Processing System, 자동 데이터 처리 시스템
ADPSO 	Association of Data Processing Service Organizations
ADR 	Adder, 가산기
ADR 	Address Register, 어드레스 레지스터
ADR 	Address, 주소
ADR 	Analog-to-Digital Recorder, 아날로그-디지털 기록기
ADRAC 	Automatic Digital Recording and Control, 자동 디지털 기록 및 제어
ADREQ 	Audio Data Request
ADRT 	Analog Data Recorder Transcriber
ADS 	Accurately Defined System
ADS 	Active Double Star, 능동 이중 성형 (구조)
ADS 	Address Data Strobe, 어드레스 데이터 스트로브
ADS 	Advance Data Systems
ADS 	Application Development System, 응용 개발 시스템
ADS-TP 	Administrative Data Systems Teleprocessing System
ADSC 	Automatic Data Service Center, 자동 데이터 서비스 센터
ADSL 	Asymmetric Digital Subscribe Line, 비대칭 디지털 가입자 선(로)
ADSL 	Asynchronous Digital Subscriber Line, 비동기 디지털 가입자선*
ADSL 	Asynchronous Digital Subscriber Loop, 비동기 디지털 가입자 루프*
ADSM 	Automated Data Storage Management, 자동 데이터 저장 관리
ADSP 	Apple talk Data Stream Protocol, 애플토크 데이터 스트림 프로토콜
ADSR 	Generator Attack, Decay, Sustain and Release
ADSU 	ATM Data Service Unit, 비동기 전송 방식 데이터 서비스 유닛
ADSUP 	Automated Data Systems Uniform Practices
ADT 	Abstract Data Type
ADT 	Advanced Design Team
ADT 	Analog and Digital trunks, 아날로그 및 디지털 중계선
ADT 	Automatic Data Translator, 자동 데이터 변환
ADTV 	Advanced Digital Television, 고화질 디지털 텔레비전
ADU 	Automatic Dialing Unit
ADVICE 	ADVanced Network serVICE support system*
ADX 	Automatic Data Exchange, 자동 데이터 교환기
AE 	Activity End
AE 	Adaptive Equalizer, 적응 등화기
AE 	Application Engineer
AE 	Application Entity*, 응용 계층의 실체
AE 	Arithmetic Element
AE 	Arithmetic Expression
AEA 	Activity End ACK
AEA 	Adaptive Equalization Algorithm, 적응 등화 알고리즘
AEB 	Application Entity Block (IMT-2000)
AEC 	Atomic Energy Commission, 원자력 에너지 위원회
AECT 	Association for Educational Communications & Technology
AED 	ALGOL Extended for Design
AED 	Automated Engineering Design
AEDP 	Association for Educational Data Processing
AEDS 	Association for Educational Data Systems
AEGIS 	An Existing General Information System
AEI 	Associated Electrical Industries ltd. (Great Britain Computer Manufacturer)
AEIMP 	Apple Event Interprocess Messaging Protocol
AEN 	Address-Enable-Line
AEN 	Affaiblissement Equivalente pour la Nettete Articulation reference euuivalent, 명료도 등가 감쇄량
AEO 	Affaiblissment Equivallente pour la Opinion, 평점 등가 감쇄량
AEP 	AppleTalk Echo Protocol, 애플토크 에코 프로토콜
AERA 	American Educational Research Association, 미국 교육 연구 협회
AERM 	Aligne Error Rate Monitoring
AEROSAT 	Aeronautical Communications Satellite, 에어로샛
AES 	Aero Satellite, 항공 위성 통신
AES 	Application Environment Specification, 애플리케이션 환경 명세
AES 	Audio Engineering Society, 오디오 기술 협회
AES/EBU 	Audio Engineering Society / European Broadcasting Union, 오디오 기술 협회 / 유럽 방송 연맹
AESOP 	An Evolutionary System for Online Processing
AF 	Address Field, 어드레스 필드
AF 	Address Filter, 주소 필터
AF 	Administration Frame, 운영 프레임
AF 	Air Force, 공군
AF 	Audio Frequency, 오디오 주파수
AFC 	Adaptive Fixed Codebook, 적응고정 코드북 (음성)
AFC 	Automatic Frequency Control, 자동 주파수 제어
AFCC 	Air Force Command and Control
AFCEA 	Armed Forces Communications and Electronics Association
AFDDA 	Air Force Director of Data Automation
AFE 	Analog Front-End
AFG 	Analog Function Generator
AFI 	Authority and Format Identifier
AFI 	Authority Frame Identifier, 인증 프레임 식별자
AFIM 	AFter IMage
AFIP 	American Federation of Information Processing
AFL 	Abstract Family of Languages
AFL 	Animated Film Language
AFM 	Automatic Flight Management
AFOSR 	Air Force Office of Scientific Research
AFP 	Apple File Protocol, 애플 파일 프로토콜
AFP 	AppleTalk Filing Protocol, 애플토크 파일링 프로토콜
AFS 	Aeronautical Fixed Service
AFS 	Andrew File System, 앤드류 파일 시스템
AFTN 	Aeronautical Fixed Telecommunication Network, 항공 고정 통신망
AFU 	Activity management Function Unit, 활성화 관리 기능 단위
AG 	Address Generation, 주소 생성
AGC 	Automatic Gain Control, 자동 이득 제어
AGCH 	Access Grant Channel
AGDIC 	Astro Guidance Digital Computer
AGE 	Aerospace Ground-support Equipment
AGEX 	Address Generation/EXecute cycle
AGILE 	Automatics General Information Learning Equipment
AGL 	Apple's Graphics Library
AGSP 	Atlas General Survey Program
AGU 	Address-Generation Unit, 주소 생성 장치
AH 	Application Header, 어플리케이션 헤더
Ah 	Successive Approximation Bit Position High, 연속근사방식시 비트 위치를 표시하는 상위치정보
AI 	Activity Interrupt
AI 	Administration Interface, 운영 인터페이스
AI 	Air Interface
AI 	Artificial Intelligence, 인공지능
AIA 	Activity Interrupt ACK
AIA 	Aerospace Industries Association
AIAA 	Automatico Associatione Italiana per II Calcolo (Italian Computer Association)
AIAA 	International Association for Analog Computing
AIB 	Analog Interface Block (IMT-2000)
AIBA 	Analog Interface Board Assembly (IMT-2000)
AICE 	American Institute of Consulting Engineers
AICHE 	American Institute of Certified Public Accountants
AID 	Airline Interline Development (UNIVAC)
AID 	Algebraic Interpretive Dialogue
AIDE 	Automated Integrated Design Engineering
AIDS 	Administrative Information Data System
AIDS 	Automatic Integrated Debugging System
AIEE 	American Institute of Electrical Engineers
AIG 	Address-Indicating Groups
AIIE 	American Institute of Industrial Engineers
AIIM 	Association for Information and Image Management
AIM 	Air Isolated Monolithic
AIMACO 	Air Material Command Version of FLOWMATIC
AIME 	American Institute of Mechanical Engineers, 미국 기계 공학 협회
AIME 	American Institute of Mining, Metallurgical, and Petroleum Engineers
AIMES 	Automated Inventory Management Evaluation System
AIMS 	Automated Industrial Management System
AIMS 	Automated Information and Management Systems
AIN 	Advanced Intelligent Network*
AIPE 	American Institute of Plant Engineers
AIRCON 	Automated Information and Reservations Computer Oriented Network
AIRS 	Automatic Information Retrieval System
AIS 	Advanced Information System*
AIS 	Alarm Indication Signal, 경보 표시 신호, 경고 지시 신호
AISC 	Association of Independent Software Companies
AIST 	Automatic Informational Station
AIT 	American Institute of Technology, 미국 기술 협회
AIX 	Advanced Interactive Executive, 에이 아이 엑스
AJAS 	Australian Journal of Applied Science
AKM 	Apogee Kick Motor
AL 	Alignment, 정렬
AL 	Analog Loopback, 아날로그 루프백
AL 	Assembly Language, 어셈블리 언어
Al 	Successive Approximation Bit Position Low, 연속근사방식시 비트 위치를 표시하는 하위치정보
ALAS 	Asynchronous Look Ahead Simulator
ALC 	Automatic Length of Code, 평균부호장
ALC 	Automatic Level Control, 자동 레벨 제어
ALCAPP 	Automatic List Classification and Profile Production
ALCOM 	Algebraic Compiler
ALCOR 	CLGOL Converter
ALD 	Analog Line Driver, 아날로그 라인 드라이버
ALD 	Automated Logic Diagram, 자동 로직 다이어그램
ALE 	Address Latch Element, 어드레스 래치 소자
ALE 	Address Latch Enable, 어드레스 래치 인에이블
ALERT 	Automated Linguistic Extraction and Retrieval Technique
ALFTRAN 	ALGOL to FORTRAN translator
ALG 	Algebraic
ALGO 	Algebraic Compiler
ALGO 	Algorithm, 알고리즘, 흐름도
ALGO 	Algorithmic Language, 알고리즘 언어
ALGOL 	Algorithmic Language, 알골
ALGOL 58 	1958 version of the Algorithmic Language
ALI 	Array Level Interface
ALI 	Automated Logic Implementation
ALIS 	Advanced Life Information System
ALIVH 	Any Layer Inner Via Hole, 전층 IVH
ALL 	Adaptation Level Lower subunit
ALL 	ATM Adaptation Layer, ATM 응용 계층, ATM 적응 계층
ALLOC 	Allocate, 할당
ALMS 	Analytic Language Manipulation System
ALOHA 	Additive Link Off Hawaiian Access*, 알로하
ALOHA 	Additive Links On-line Hawaii Aream, 알로하
ALPS 	Advanced Linear Programming System (HIS)
ALPS 	Associated Logic Parallel System
ALPS 	Automated Library Processing Service, 자동 라이브러리 처리 서비스
ALREN 	Applied Logic Report Generator
ALS 	ATM Local Switching Subsystem (IMT-2000)
ALS 	Automated Library Server, 자동 라이브러리 서버
ALS 	Automatic Line Switching, 자동 라인 교환
ALSTTL 	Advanced Low power Schottky TTL
ALS_M 	ATM Local Switching Subsystem for Mobile Subscriber (IMT-2000)
ALS_T 	ATM Local Switching Subsystem for Trunk (IMT-2000)
ALT 	Alternate
ALTAC 	Algebraic Transistorized Automatic Computer Translator
ALTRAN 	Algebraic Translator (extension to FORTRAN)
ALTRAN 	Assembly Language Translator (Xerox corp.)
ALU 	Arithmetic and Logical Unit, 산술 논리 연산 장치
ALU 	Arithmetic Logic Unit, 산술 논리 연산 장치, 산술 논리 장치
ALWAC 	Alex-wenner-gern Automatic Computer
ALWAC USERS 	ALWAC users organization
AM 	Access Manager
AM 	Administrative Module
AM 	Alert Message
AM 	Amplitude Modulation, 진폭 변조
AM 	Asynchronous Multiplexing, 비동기 다중화
AM DEC 	Assignment Message Decoder, 할당 메시지 디코더
AM ENC 	Assignment Message Encoder, 할당 메시지 인코더
AM-DBS 	Amplitude Modulation, Double-sideband, 진폭 변조 - 더블사이드밴드
AM-PM-VSB 	Amplitude Modulation-Phase Modulation-Vestigial Sideband, 진폭 변조-위상 변조-잔류 측파대
AM-SC 	Amplitude Modulation - Suppressed Carrier, 반송파 억압 진폭 변조
AM-SSB 	Amplitude Modulation, Single Sideband
AMA 	Actuated Mirror Array. 동작 중 거울 배열
AMA 	Automatic Message Accounting frame, 자동 메시지 계산 프레임
AMA 	Automatic Message Accounting, 자동 메시지 계산
AMACUS 	Automated Microfilm Aperture Card Updating System
AMC 	Automatic Message Counting, 자동 메시지 카운팅
AMC 	Automatic Modulation Control, 자동 변조 제어
AMD 	Alarm circuit for Marking leads and Diodes, 마킹 경보 회로
AMF 	Apogee Motor Firing
AMFIS 	American Microfilm Information Society, 미국 마이크로필름 정보 학회
AMI 	Advanced Mobile Phone Service
AMI 	Alternative Mark Inversion, 교호 부호 반전 (일본, 이탈리아)*
AMIT 	Ampex to IBM Tape
AMJM 	American Journal of Mathematics, 미국 수학 저널
AMLCD 	Active-Matrix Liquid-Crystal Display
AMMITSL 	Advanced Man Machine Interface Through Spoken Language (일본)
AMOS 	Associative Memory Organization System (syntax directed compiler language)
AMOS 	Automatic Meteorological Observation Station
AMP 	Ampere, 암페어
AMP 	Associative Memory Processor
AMPS 	Advanced Mobile Phone Service, 에이엠피에스
AMPS 	Advanced Mobile Phone System
AMPS 	Automatic Message Processing System, 자동 메시지 처리 시스템
AMR 	Atlantic Missile Range
AMR 	Automated Management Reports
AMR 	Automatic Message Registering, 자동 메시지 등록
AMS 	Administrative Management Society
AMS 	Aeronautical Mobile Service, 항공 이동 업무
AMS 	American Mathematical Society, 미국 수학회
AMS 	American Messaging Service
AMS 	ATM Mobility Server
AMSC 	American Mobile Satellite Corp
AMSS 	Aeronautical Mobile Satellite Service
AMTCL 	Association for Machine Translation and Computational Linguistics
AMTICS 	Advanced Mobile Traffic Information & Communication Systems, 암틱스, 신 자동차 교통 정보 통신 시스템
AMTOR 	AMateur Teleprinting Over Radio, 아마추어 텔레프린팅 오버 라디오
AMTRAN 	Automatic mathematical Translation
AMU 	Audio Mixing Unit, 음성 혼합기
AMVER 	Automated Mutual-assistance Vessel Rescue System, 선박 자동 상호 구조 제도, 앰버
AN 	Aliasing Noise, 절반 잡음
AN 	Alphanumeric, 알파뉴메릭
ANAC 	Automatic Number Announcement Circuit
ANACOM 	Analog Computer, 아날로그 컴퓨터
ANATRAN 	Analog Translator, 아날로그 변환
ANATRON 	Analog Translator, 아날로그 변환
ANC 	Active Noise Control, 능동 소음 제어
ANC 	Adaptive Noise Cancelling, 적응 잡음 제거 (음성)
ANCP 	Automatic Coding System, 자동 코딩 시스템
ANDF 	Architecture Neutral Distribution Format, 에이엔디에프
ANI 	Automatic Number Identification
ANL 	Argonne National Laboratory
ANM 	Answer Point
ANS 	Advanced Network & Services
ANS 	American Nuclear Society, 미국 원자력 학회
ANSER 	Automatic Answer Network System foe Electronic Request, 음성 조회 통지 시스템
ANSI 	American National Standard Institute
ANSI 	American National Standards Institute, 미국표준규격협회, 미국규격협회
ANSWO 	Outgoing Call
ANT 	ADSL Network Termination
ANT 	Antenna, 안테나
ANZAAS 	Australian and New Zealand Association for the Advancement of Science
AO 	Amplifier Output, 증폭 출력
AOC 	Automated Operator Console
AOC 	Automatic Output Control, 자동 출력 제어
AOCE 	Apple Open Collaboration Environment, 에이오시이
AOCS 	Alpha Omega Computer System
AOE 	Activity On Edge
AOIV 	Automatically Operated Inlet Valve
AOL 	Application Oriented Language, 응용 지향 언어
AON 	Affirmative-or-Negative (음성)
AOP 	Application Oriented Protocol, 응용 지향 프로토콜
AOQ 	Average Outgoing Quality Average
AOR 	Atlantic Ocean Region (Intelsat)
AOS 	Acquisition Of Signal, 신호 포착
AOS 	Add Or Subtract
AOS 	Attitude and Orbit Control Subsystem
AOSP 	Automatic Operating and Scheduling Program
AOV 	Activity On Vertex
AP 	Access Point, 액세스 포인트
AP 	Alarm Panel, 알람 패널
AP 	Application Part
AP 	Application Process, 응용 프로세스
AP 	Application Program, 응용 프로그램, 애플리케이션 프로그램, 적용 업무 프로그램
AP 	Application Protocol, 응용 프로토콜
AP 	Authentication Protocol, 인증 프로토콜
APA 	American Psychological Association, 미국 심리학 협회
APADS 	Automatic Programmer And Data System
APAREL 	A Parse-Request Language
APB 	Backward Adaptive Prediction, 역방향 적응 예측
APC 	Adaptive Predictive Coding*, 적응 예측 부호화
APC 	Automatic Phase Control, 자동 위상 제어
APCC 	Application Part - Call Control - Plane
APCHE 	Automatic Programming Check-out Equipment
APCI 	Application Protocol Control Information, 응용 프로토콜 제어 정보
APCM 	Adaptive Pulse Code Modulation, 적응 펄스 부호 변조
APCO 	Associated Public Safety Communications Offices
APD 	Angular Position Digitizer
APD 	Avalanche Photo Diode, 어발란체 포토다이오드
APDOS 	Apple Dos Operating System
APDU 	Application Protocol Data Unit, 응용 프로토콜 데이터부*
APE II 	Arizona Pedagogical II Computer
APG 	Automatic Priority Group, 자동 우선 순위 그룹
API 	Application Program Interface, 응용 프로그램 인터페이스
API 	Application Programming Interface*, 에이피아이, 애플리케이션 프로그래밍 인터페이스, 응용 프로그래밍 접속
APICS 	American Production and Inventory Control Society
APId 	Access Point Identifier, 액세스 포인트 식별자
APII 	Asia Pacific Information Infrastructure
APIN 	Association for Programmed Instruction in the Netherlands
APK 	Amplitude Phase Keying, 진폭 위상 변조
APL 	A Programming Language, 에이피엘
APL/360 	A Programming Language on the IBM system/360 computer
APM 	Advanced Power Management, 에이피엠
APNIC 	Automatic Programming National Information Centre (Bringhton Technical College, England)
APOC 	Advanced Paging Operator Code
APOTA 	Automatic Positioning Telemetering Antenna, 자동 위치 계측 안테나
APP 	A Posteriori Probability
APP 	Associative Parallel Processor
APP 	Auxiliary Power Plant
APPC 	Advanced Peer-to-Peer Networking
APPC 	Advanced Program-to-Program Language, 에이피피시
APPECS 	Adaptive Pattern Perceiving Electronic Computer System
APPN 	Advanced Peer to Peer Networking
APPN 	Advanced Peer-to-Peer Networking = SNA, 에이피피엔
APPROX 	Approximate
APPS 	APPlication Server, 어플리케이션 서버
